MATRIX_NAME=OPGAVETYPE;;
MATRIX_DIMENSIONS=2;;
MATRIX_CELLTYPE=INTEGER;;
MATRIX_XTYPE=OPGAVETYPE;;
MATRIX_YTYPE=OpgavetypeID;;
MATRIX_ZTYPE=null;;
MATRIX_USE_DEFAULT=NO;;
MATRIX_DEFAULT=false;;
MATRIX_EMPTY_CELL_SIGN=-;;
;;OpgavetypeID
;KREDITOPLYSNINGSBUREAU_VARSEL_OM_INDBERETNING;1
;KREDITOPLYSNINGSBUREAU_MEDDELELSE_OM_INDBERETNING;2
;KREDITOPLYSNINGSBUREAU_ANGIV_FUNDAMENTDATO;3
;HENSTAND_BEVILGET;4
;HENSTAND_AENDR_UDLOEB;5
;HENSTAND__OPHOER;6
;HENSTAND_MANUEL_UDREDNING;7
;HENSTAND_GENSEND_MEDDELELSE;8
;UDLAEG_VAELG_ADRESSE_TILSIG_ENKELTMANDSVIRKSOMHED_MANUELT;9
;UDLAEG_SEND_ANMODNING_POLITIEFTERSOEGNING;10
;UDLAEG_ADRESSE_AENDRET_EFTERSOEGT_KUNDE;11
;UDLAEG_TILSIGELSE_TIL_UDLAEGSFORRETNING;12
;UDLAEG_UDLAEGSFORRETNING_FOGED;13
;UDLAEG_UDLAEGSFORRETNING_KUNDE;14
;UDLAEG_UDLAEGSFORRETNING_KUNDE_ELLER_ANDEN_OPFOELGNING_PAA_EJ_GENNEMFOERT_UDLAEG;15
;UDLAEG_UDLAEGSFORRETNING_FOGED_FORTRINSBERETTIGEDE_FORDRINGER;16
;UDLAEG_RYK_ANDELSADMINISTRATOR_ADKOMSTERKLAERING;17
;UDLAEG_ANMOD_FORLAENGELSE_FRIST_VEDR_TINGLYSNING_ANDELSBOLIG;18
;UDLAEG_VURDER_SVAR_FRA_TINGLYSNING;19
;UDLAEG_AKTIV_FORAELDER_SNART;20
;UDLAEG_AKTIV_FORAELDET;21
;UDLAEG_UDLAEG_AFSLUTTET_AUTOMATISK;22
;UDLAEG_MANUEL_OPRYDNING;202
;RYKKER_BOOK_RESSOURCE;23
;LOENINDEHOLDELSE_BOOK_RESSOURCE_TIL_VURDERING_OM_YDERLIGERE_INDRIVELSE;24
;LOENINDEHOLDELSE_OPFOELGNING_PAA_LOENINDEHOLDELSE;25
;LOENINDEHOLDELSE_MEDDELELSE_OM_FORHOEJET_LOENINDEHOLDELSESPROCENT;26
;LOENINDEHOLDELSE_MEDDELELSE_OM_GENOPTAG_LOENINDEHOLDELSE;27
;LOENINDEHOLDELSE_MEDDELELSE_VARSEL_OM_STIGNING_AF_LOENINDEHOLDELSE;28
;LOENINDEHOLDELSE_MEDDELELSE_IVAERKSAET_STIGNING_AF_LOENINDEHOLDELSE;29
;LOENINDEHOLDELSE_MEDDELELSE_NEDSAETTELSE_AF_LOENINDEHOLDELSESPROCENT;30
;LOENINDEHOLDELSE_MEDDELELSE_ANMOD_KUNDE_OM_LOENOPLYSNINGER;31
;LOENINDEHOLDELSE_MEDDELELSE_OM_NEDSAET_LOENINDEHOLDELSE;32
;LOENINDEHOLDELSE_MEDDELELESE_OM_YDERLIGERE_FORDRING;33
;LOENINDEHOLDELSE_BOOK_RESSOURCE_TIL_FORSKUDSREGISTRERING;34
;LOENINDEHOLDELSE_MEDDELELSE_VARSEL_OM_LOENINDEHOLDELSE;35
;LOENINDEHOLDELSE_MEDDELELSE_IVAERKSAET_LOENINDEHOLDELSE;36
;BOB_DOEDSBO_AFSLUT_BOSAG;37
;BOB_DOEDSBO_DIVIDENDE_MODTAGET;38
;BOB_DOEDSBO_ER_BOET_AFSLUTTET;39
;BOB_DOEDSBO_BETALINGSFORSLAG_MODTAGET;40
;BOB_DOEDSBO_GAELD_INDFRIET;41
;BOB_DOEDSBO_KVITT_FRA_MEDHJAELPER;42
;BOB_DOEDSBO_OPRET_BOSAG_SEND_ANMELDELSE;43
;BOB_DOEDSBO_OPRET_PLUKOPGAVE;44
;BOB_DOEDSBO_MEDDELELSE_TIL_EFTERLADTE_OM_GAELD;45
;BOB_DOEDSBO_SVAR_FRA_DK_AMBASSADE;46
;BOB_DOEDSBO_SVAR_FRA_SKIFTERET;47
;BOB_EFTERGIVELSE_AFSLUT_BOSAG;48
;BOB_EFTERGIVELSE_OPHAEV_EFTERGIVELSE;49
;BOB_EFTERGIVELSE_DOKUMENTATION_MODTAGET;50
;BOB_EFTERGIVELSE_OPRET_EFTERGIVELSESANSOEGNING;51
;BOB_EFTERGIVELSE_UDARBEJD_REMONSTRATIONSUDTALELSE;52
;BOB_EFTERGIVELSE_OPRET_PLUKOPGAVE;53
;BOB_EFTERGIVELSE_SVAR_FRA_KLAGEINSTANS;54
;BOB_EFTERGIVELSE_OPFOELGNING_ESG_SAG;55
;BOB_GAELDSSANERING_GAELDSSANERINGSFORSLAG_MODTAGET;56
;BOB_GAELDSSANERING_KENDELSE_AFSAGT;57
;BOB_GAELDSSANERING_KVITT_RETUR_FRA_MEDHJAELPER;58
;BOB_GAELDSSANERING_OPRET_BOSAG_SEND_ANMELDELSE;59
;BOB_GAELDSSANERING_ANMOD_SKIFTERETTEN_OM_GENOPTAGELSE_ELLER_OHÆVELSE;60
;BOB_GAELDSSANERING_ANMOD_KAMMERADVOKAT_OM_KÆRESAG;61
;BOB_GAELDSSANERING_OPRET_PLUKOPGAVE;62
;BOB_GAELDSSANERING_SVAR_FRA_KAMMERADVOKAT;63
;BOB_GAELDSSANERING_SVAR_FRA_SKIFTERET;64
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_AFSLUT_BOSAG;65
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_DEKREFT_AFSAGT;66
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_KVITT_RETUR_FRA_KAMMERADVOKAT_ELLER_SKIFTERET;67
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_MEDDELELSE_KONKURSBEGAERING;68
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPFOELGNING_VARSEL_OM_KONKURSBEGAERING;69
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPRET_PLUKOPGAVE;70
;BOB_INDGIVELSE_AF_KONKURSBEGAERING_OPRET_BOSAG_SEND_VARSEL;71
;BOB_KONKURS_SELSKAB_AFSLUT_BOSAG;72
;BOB_KONKURS_SELSKAB_NEDSKRIV_FORDRING;73
;BOB_KONKURS_SELSKAB_MEDDELELSE_FOGED_HENT_TOLDDATAPLADER_REGISTRERINGSBEVIS;74
;BOB_KONKURS_SELSKAB_MEDDELELSE_MOTOR_LUK_KREDIT;75
;BOB_KONKURS_SELSKAB_CIRKULAERESKRIVELSE_MODTAGET;76
;BOB_KONKURS_SELSKAB_MEDDELELSE_COR_INDSAETTELSE_AF_LG_KRAV;77
;BOB_KONKURS_SELSKAB_DIVIDENDE_MODTAGET;78
;BOB_KONKURS_SELSKAB_SIKERHEDSSTILLELSE_MODTAGET;79
;BOB_KONKURS_SELSKAB_ANGIVELSE_OG_BETALING_MODTAGET_FRA_BOET;80
